,Biomass (Tonnes),Catch (Tonnes)
1925,35622.91,77.5
1926,35625.8,301.2
1927,35381.06,471.3
1928,34972.05,833.7
1929,34221.39,199.9
1930,34192.39,553.9
1931,33821.39,291.2
1932,33760.7,318.7
1933,33697.93,293
1934,33688.29,719
1935,33285.39,1290
1936,32383.28,1302
1937,31572.45,1347
1938,30823.17,2177
1939,29390.91,1868
1940,28415.94,1156
1941,28199.8,1451
1942,27258.18,2261
1943,25315.02,2044
1944,23748.15,2007
1945,21669.69,1693
1946,19957.36,1582
1947,18292.27,1047
1948,17296.83,966
1949,16383.4,883
1950,15601.31,687
1951,15179.31,607
1952,14983.03,480
1953,15083.89,486
1954,15303.46,659
1955,15439.95,526
1956,15757.29,436
1957,16146.68,287
1958,16587.42,280
1959,16969.35,356
1960,17162.13,731
1961,17194.63,719
1962,17196.37,1066
1963,16837.29,999
1964,16457.15,598
1965,16466.06,827
1966,16183.02,1145
1967,15525.45,845
1968,15243.29,775
1969,15043.51,485
1970,15170.62,471
1971,15279.09,210
1972,15677.87,242
1973,16025.17,146
1974,16476.54,120
1975,16856.34,59
1976,17301.78,60.18
1977,17668.76,61.38
1978,18004.5,62.61
1979,18286.21,63.86
1980,18485.42,73.44
1981,18590.99,84.46
1982,18596.85,97.13
1983,18532.08,111.7
1984,18384.79,128.45
1985,18164.13,147.72
1986,17853.1,169.88
1987,17624.12,173.28
1988,17462.38,176.74
1989,17250.57,180.28
1990,17149.99,183.88
1991,17118.08,187.56
1992,17139.5,191.31
1993,17245.9,195.14
1994,17350.06,199.04
1995,17407.31,203.02
1996,17472.45,207.08
1997,17454.39,211.22
1998,17403.65,215.45
1999,17333.73,219.76
2000,17279.79,224.15
2001,17222.36,228.63
2002,17180.03,233.21
2003,17097.17,237.87
2004,17062.35,242.63
2005,17075.94,247.48
2006,16893.86,252.43
2007,16614.42,257.48
2008,16327.46,262.63
2009,16008.86,267.88
2010,15794.78,273.24
2011,15676.31,327.89
2012,15550.79,393.46
2013,15389.92,432.81
2014,15245.91,476.09
2015,15111.53,523.7
2016,14978.78,576.07
2017,14843.81,762.14
